"Year","OHI_Region","weighted_CPUE_acrossAllGroups","GeoMean_StockStatus","FIS_Score"
2018,"region_1",0.7496142,0.717821912386416,0.733718056193208
2018,"region_2",0.9809473,0.832349669990946,0.906648484995473
2018,"region_3",0.9241307,0.95352569833292,0.93882819916646
2018,"region_4",0.95766,0.976290681178484,0.966975340589242
2018,"region_5",0.945319,0.770749680727436,0.858034340363718
2018,"region_6",0.8217714,0.879242166321637,0.850506783160819
2018,"region_7",0.5338562,0.812217127728139,0.673036663864069
2018,"region_8",0.6053591,0.847310065817847,0.726334582908923
2018,"region_9",0.935343,0.920011073172774,0.927677036586387
2019,"region_1",0.8570409,0.750594397104477,0.803817648552238
2019,"region_2",0.9733948,0.853539481737718,0.913467140868859
2019,"region_3",0.7519702,0.959436504714494,0.855703352357247
2019,"region_4",0.9716562,0.975833533644001,0.973744866822001
2019,"region_5",0.9320052,0.796747489182707,0.864376344591353
2019,"region_6",0.8891045,0.893929918629778,0.891517209314889
2019,"region_7",0.762336,0.829885471539167,0.796110735769583
2019,"region_8",0.5508105,0.839544688635389,0.695177594317695
2019,"region_9",0.9393506,0.910814439597535,0.925082519798768
2020,"region_1",0.9844083,0.770171499140381,0.87728989957019
2020,"region_2",0.9622225,0.878899588691342,0.920561044345671
2020,"region_3",0.7579616,0.973256849190766,0.865609224595383
2020,"region_4",0.9755409,0.976810888017875,0.976175894008938
2020,"region_5",0.9563944,0.814791586136502,0.885592993068251
2020,"region_6",0.828068,0.928178517429248,0.878123258714624
2020,"region_7",0.958456,0.858144277766054,0.908300138883027
2020,"region_8",0.677564,0.868129747202484,0.772846873601242
2020,"region_9",0.840692,0.968807618047959,0.90474980902398
2021,"region_1",0.9995258,0.784652142869174,0.892088971434587
2021,"region_2",0.9502687,0.876972778681124,0.913620739340562
2021,"region_3",0.6875065,0.909966835338875,0.798736667669438
2021,"region_4",0.972553,0.849795606333815,0.911174303166908
2021,"region_5",0.6846998,0.822599500255021,0.753649650127511
2021,"region_6",0.7864009,0.905389387045209,0.845895143522605
2021,"region_7",0.9898658,0.820590750998664,0.905228275499332
2021,"region_8",0.7193607,0.772147207110492,0.745753953555246
2021,"region_9",0.7637706,0.809347062031448,0.786558831015724
2022,"region_1",0.9992968,0.755826566524682,0.877561683262341
2022,"region_2",0.9677506,0.843535137821648,0.905642868910824
2022,"region_3",0.7349368,0.878559377436753,0.806748088718376
2022,"region_4",0.9914004,0.793283865007189,0.892342132503595
2022,"region_5",0.8262122,0.793868768974234,0.810040484487117
2022,"region_6",0.8211644,0.88447816656821,0.852821283284105
2022,"region_7",0.9910381,0.788128735235634,0.889583417617817
2022,"region_8",0.6759424,0.729137376290283,0.702539888145142
2022,"region_9",0.6623815,0.752675322689448,0.707528411344724
2023,"region_1",0.9992212,0.722215851874279,0.860718525937139
2023,"region_2",0.9671129,0.80438815396116,0.88575052698058
2023,"region_3",0.7789735,0.854684982377078,0.816829241188539
2023,"region_4",0.9742203,0.754532513815535,0.864376406907767
2023,"region_5",0.9583495,0.757951670308932,0.858150585154466
2023,"region_6",0.7893824,0.854659404898093,0.822020902449046
2023,"region_7",0.9960738,0.764825193832606,0.880449496916303
2023,"region_8",0.8586711,0.687011788045638,0.772841444022819
2023,"region_9",0.673489,0.705688168252239,0.68958858412612
2024,"region_1",0.9996874,0.608495646815644,0.804091523407822
2024,"region_2",0.9810499,0.703599624892647,0.842324762446324
2024,"region_3",0.790957,0.824286718686916,0.807621859343458
2024,"region_4",0.9708877,0.712377487809971,0.841632593904986
2024,"region_5",0.8058836,0.656020358171807,0.730951979085903
2024,"region_6",0.8252936,0.80553651434251,0.815415057171255
2024,"region_7",0.772357,0.672057059165512,0.722207029582756
2024,"region_8",0.8530105,0.628950526740949,0.740980513370475
2024,"region_9",0.6784675,0.634236280970962,0.656351890485481
