main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean
ALMEJA,ALMEJA BURRA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA BURRA
ALMEJA,ALMEJA BURRA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA BURRA C.
ALMEJA,ALMEJA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA C.
ALMEJA,ALMEJA CALLO DE ARBOL ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA CALLO DE ARBOL
ALMEJA,ALMEJA CALLO DE ARBOL,NA,NA,NA,NA,NA,ALMEJA CALLO DE ARBOL
ALMEJA,ALMEJA CATARINA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CATARINA
ALMEJA,ALMEJA CATARINA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CATARINA
ALMEJA,ALMEJA CATARINA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CATARINA
ALMEJA,ALMEJA CATARINA,NA,NA,NA,NA,NA,ALMEJA CATARINA
ALMEJA,ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS),NA,NA,NA,NA,NA,ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS)
ALMEJA,ALMEJA CATARINA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CATARINA C.
ALMEJA,ALMEJA CHOCOLATA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA
ALMEJA,ALMEJA CHOCOLATA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CHOCOLATA
ALMEJA,ALMEJA CHOCOLATA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CHOCOLATA
ALMEJA,ALMEJA CHOCOLATA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA C.
ALMEJA,ALMEJA CHOCOLATA CAFE ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA CAFE
ALMEJA,ALMEJA CHOCOLATA CAFE CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA CHOCOLATA CAFE
ALMEJA,ALMEJA CHOCOLATA CAFE DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA CHOCOLATA CAFE
ALMEJA,ALMEJA CHOCOLATA CAFE S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA CAFE C.
ALMEJA,ALMEJA CHOCOLATA ROJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA CHOCOLATA ROJA
ALMEJA,ALMEJA DE AGUA DULCE ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA DE AGUA DULCE
ALMEJA,ALMEJA CONCHA ESPINA ENT. FCA.,CONCHA,ENT.,FCA.,NA,NA,ALMEJA ESPINA
ALMEJA,ALMEJA GENEROSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA GENEROSA
ALMEJA,ALMEJA GENEROSA DE CULTIVO ENT. FCA.,DE CULTIVO,ENT.,FCA.,NA,NA,ALMEJA GENEROSA
ALMEJA,ALMEJA GENEROSA,NA,NA,NA,NA,NA,ALMEJA GENEROSA
ALMEJA,ALMEJA GENEROSA VIVA,NA,NA,NA,NA,NA,ALMEJA GENEROSA VIVA
ALMEJA,ALMEJA GLOBOSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA GLOBOSA
ALMEJA,ALMEJA GLOBOSA VIVA,NA,NA,NA,NA,NA,ALMEJA GLOBOSA VIVA
ALMEJA,ALMEJA MANO DE LEON ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA MANO DE LEON
ALMEJA,ALMEJA MANO DE LEON S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA MANO DE LEON C.
ALMEJA,ALMEJA MANO DE LEON DE CULTIVO S.C. FCA.,DE CULTIVO,S.,FCA.,NA,NA,ALMEJA MANO DE LEON C.
ALMEJA,ALMEJA PARDA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PARDA
ALMEJA,ALMEJA PATA DE MULA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA DE CULTIVO ENT FCA,DE CULTIVO,ENT,FCA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA,NA,NA,NA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA ENT. FCA,ENT.,FCA,NA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA CONCHA,CONCHA,NA,NA,NA,NA,ALMEJA PATA DE MULA
ALMEJA,ALMEJA PATA DE MULA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA C.
ALMEJA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL
ALMEJA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL
ALMEJA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL C.
ALMEJA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA,NA,NA,NA,NA,NA,ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA
ALMEJA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA ENTERO FCO.,ENTERO,FCO.,NA,NA,NA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA
ALMEJA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA  CONCHA,CONCHA,NA,NA,NA,NA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA
ALMEJA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA C.
ALMEJA,ALMEJA PISMO ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PISMO
ALMEJA,ALMEJA PRIETA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PRIETA
ALMEJA,ALMEJA PRIETA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA PRIETA C.
ALMEJA,ALMEJA PURPURA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA PURPURA
ALMEJA,ALMEJA RAYA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RAYA
ALMEJA,ALMEJA REINA DE CULTIVO,DE CULTIVO,NA,NA,NA,NA,ALMEJA REINA
ALMEJA,ALMEJA ROJA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA ROJA
ALMEJA,ALMEJA ROJA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA ROJA
ALMEJA,ALMEJA ROJA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA ROJA C.
ALMEJA,ALMEJA RONOSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA
ALMEJA,ALMEJA RONOSA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA RONOSA
ALMEJA,ALMEJA RONOSA / ARROCERA CHIRLA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA / ARROCERA CHIRLA
ALMEJA,ALMEJA RONOSA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA RONOSA C.
ALMEJA,ALMEJA RONOSA CHINA,NA,NA,NA,NA,NA,ALMEJA RONOSA CHINA
ALMEJA,ALMEJA RONOSA CHINA ENT. FCA,ENT.,FCA,NA,NA,NA,ALMEJA RONOSA CHINA
ALMEJA,ALMEJA RONOSA CHINA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA CHINA
ALMEJA,ALMEJA RONOSA NEGRA ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA RONOSA NEGRA
ALMEJA,ALMEJA RONOSA NEGRA,NA,NA,NA,NA,NA,ALMEJA RONOSA NEGRA
ALMEJA,ALMEJA RONOSA NEGRA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RONOSA NEGRA
ALMEJA,ALMEJA RONOSA NEGRA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA RONOSA NEGRA C.
ALMEJA,ALMEJA RONOSA NEGRA VIVA,NA,NA,NA,NA,NA,ALMEJA RONOSA NEGRA VIVA
ALMEJA,ALMEJA RO�OSA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RO�OSA
ALMEJA,ALMEJA RO�OSA CONCHA DE,CONCHA DE,NA,NA,NA,NA,ALMEJA RO�OSA
ALMEJA,ALMEJA RO�OSA / ARROCERA CHIRLA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA RO�OSA / ARROCERA CHIRLA
ALMEJA,ALMEJA RO�OSA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA RO�OSA C.
ALMEJA,ALMEJA RO�OSA NEGRA ENT FCA,ENT,FCA,NA,NA,NA,ALMEJA RO�OSA NEGRA
ALMEJA,ALMEJA RO�OSA NEGRA VIVA,NA,NA,NA,NA,NA,ALMEJA RO�OSA NEGRA VIVA
ALMEJA,ALMEJA VOLADORA ENT. FCA.,ENT.,FCA.,NA,NA,NA,ALMEJA VOLADORA
ALMEJA,ALMEJA VOLADORA CONCHA DE SECA,CONCHA DE,SECA,NA,NA,NA,ALMEJA VOLADORA
ALMEJA,ALMEJA VOLADORA S.C. FCA.,S.,FCA.,NA,NA,NA,ALMEJA VOLADORA C.
CARACOL,CARACOL ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL
CARACOL,CARACOL CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL
CARACOL,CARACOL CONCHA DE SECA,CONCHA DE,SECA,NA,NA,NA,CARACOL
CARACOL,CARACOL DE CULTIVO ENT. FCO.,DE CULTIVO,ENT.,FCO.,NA,NA,CARACOL
CARACOL,CARACOL BURRO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL BURRO
CARACOL,CARACOL BURRO CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL BURRO
CARACOL,CARACOL BURRO S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL BURRO C.
CARACOL,CARACOL S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL C.
CARACOL,CARACOL CHILE CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL CHILE
CARACOL,CARACOL CHILE ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL CHILE
CARACOL,CARACOL CHINO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL CHINO
CARACOL,CARACOL CHINO CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL CHINO
CARACOL,CARACOL CHINO CONCHA DE SECA,CONCHA DE,SECA,NA,NA,NA,CARACOL CHINO
CARACOL,CARACOL CHINO S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL CHINO C.
CARACOL,CARACOL CHINO NEGRO CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL CHINO NEGRO
CARACOL,CARACOL CHINO NEGRO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL CHINO NEGRO
CARACOL,CARACOL CHINO NEGRO S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL CHINO NEGRO C.
CARACOL,CARACOL CHINO ROSA ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL CHINO ROSA
CARACOL,CARACOL CHINO ROSA CONCHA DE FCO.,CONCHA DE,FCO.,NA,NA,NA,CARACOL CHINO ROSA
CARACOL,CARACOL CHINO ROSA SIN CONCHA,CONCHA,NA,NA,NA,NA,CARACOL CHINO ROSA SIN
CARACOL,CARACOL CHINO ROSADO CONCHA DE FCO.,CONCHA DE,FCO.,NA,NA,NA,CARACOL CHINO ROSADO
CARACOL,CARACOL CHINO ROSADO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL CHINO ROSADO
CARACOL,CARACOL DE UNA ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL DE UNA
CARACOL,CARACOL DE UNA CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL DE UNA
CARACOL,CARACOL DE UNA S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL DE UNA C.
CARACOL,CARACOL DE U�A ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL DE U�A
